| From trip                        ||| To trip                          |||         |      |
| Line | Starting time | Ending time | Line | Starting time | Ending time | Vehicle | Cost |
|------|---------------|-------------|------|---------------|-------------|---------|------|
|  510 |         07:00 |       07:27 |  511 |         07:30 |       07:57 |       1 |  3.2 |
|  510 |         07:10 |       07:37 |  510 |         07:40 |       08:07 |       4 |  3.2 |
|  510 |         07:20 |       07:47 |  510 |         07:50 |       08:17 |       8 |  3.2 |
|  510 |         07:30 |       07:57 |  510 |         08:00 |       08:27 |       1 |  3.2 |
|  510 |         07:40 |       08:07 |  510 |         08:10 |       08:37 |       4 |  3.2 |
|  511 |         07:00 |       07:27 |  510 |         07:30 |       07:57 |       1 |  3.2 |
|  511 |         07:10 |       07:37 |  522 |         07:40 |       08:09 |       4 |  3.2 |
|  511 |         07:20 |       07:47 |  522 |         07:50 |       08:19 |       8 |  3.2 |
|  511 |         07:30 |       07:57 |  522 |         08:00 |       08:29 |       1 |  3.2 |
|  511 |         07:40 |       08:07 |  522 |         08:10 |       08:39 |       4 |  3.2 |
|  522 |         07:10 |       07:39 |  511 |         07:40 |       08:07 |       4 |  1.0 |
|  522 |         07:20 |       07:49 |  511 |         07:50 |       08:17 |       8 |  1.0 |
|  522 |         07:30 |       07:59 |  511 |         08:00 |       08:27 |      12 |  1.0 |
|  522 |         07:40 |       08:09 |  511 |         08:10 |       08:37 |       4 |  1.0 |
|  522 |         07:50 |       08:19 |  522 |         08:20 |       08:49 |       8 |  1.0 |
|  532 |         07:01 |       07:24 |  532 |         07:31 |       07:54 |       3 |  7.4 |
|  532 |         07:11 |       07:34 |  532 |         07:41 |       08:04 |       7 |  7.4 |
|  532 |         07:21 |       07:44 |  532 |         07:51 |       08:14 |      11 |  7.4 |
|  532 |         07:31 |       07:54 |  532 |         08:01 |       08:24 |       3 |  7.4 |
|  532 |         07:41 |       08:04 |  532 |         08:11 |       08:34 |       7 |  7.4 |
|  DEP |           --- |         --- |  510 |         07:00 |       07:27 |       1 | 12.0 |
|  DEP |           --- |         --- |  510 |         07:10 |       07:37 |       4 | 12.0 |
|  DEP |           --- |         --- |  510 |         07:20 |       07:47 |       8 | 12.0 |
|  DEP |           --- |         --- |  511 |         07:00 |       07:27 |       1 | 12.0 |
|  DEP |           --- |         --- |  511 |         07:10 |       07:37 |       4 | 12.0 |
|  DEP |           --- |         --- |  511 |         07:20 |       07:47 |       8 | 12.0 |
|  DEP |           --- |         --- |  522 |         07:10 |       07:39 |       4 | 12.0 |
|  DEP |           --- |         --- |  522 |         07:20 |       07:49 |       8 | 12.0 |
|  DEP |           --- |         --- |  522 |         07:30 |       07:59 |      12 | 12.0 |
|  DEP |           --- |         --- |  532 |         07:01 |       07:24 |       3 | 12.0 |
|  DEP |           --- |         --- |  532 |         07:11 |       07:34 |       7 | 12.0 |
|  DEP |           --- |         --- |  532 |         07:21 |       07:44 |      11 | 12.0 |
|  510 |         07:50 |       08:17 |  DEP |           --- |         --- |       8 | 12.0 |
|  510 |         08:00 |       08:27 |  DEP |           --- |         --- |       1 | 12.0 |
|  510 |         08:10 |       08:37 |  DEP |           --- |         --- |       4 | 12.0 |
|  511 |         07:50 |       08:17 |  DEP |           --- |         --- |       8 | 12.0 |
|  511 |         08:00 |       08:27 |  DEP |           --- |         --- |      12 | 12.0 |
|  511 |         08:10 |       08:37 |  DEP |           --- |         --- |       4 | 12.0 |
|  522 |         08:00 |       08:29 |  DEP |           --- |         --- |       1 | 12.0 |
|  522 |         08:10 |       08:39 |  DEP |           --- |         --- |       4 | 12.0 |
|  522 |         08:20 |       08:49 |  DEP |           --- |         --- |       8 | 12.0 |
|  532 |         07:51 |       08:14 |  DEP |           --- |         --- |      11 | 12.0 |
|  532 |         08:01 |       08:24 |  DEP |           --- |         --- |       3 | 12.0 |
|  532 |         08:11 |       08:34 |  DEP |           --- |         --- |       7 | 12.0 |
| total|               |             |      |               |             |         |  362 |
